brand_name,project_status,last_delivery,scope_summary,signed_at
Harbor Brew,active,2026-08-12,Shopify CRO + email flows,2026-03-01
Acme Shop,active,2026-08-20,Paid social + landing pages,2026-02-01
Northwind Limited,active,2026-08-05,Full-funnel retention,2025-12-01
Brightline Commerce,active,2026-08-18,Store redesign + AOV tests,2026-01-15
Cedar and Co,active,2026-07-30,Ongoing creatives only,2026-04-01
Lumen Apparel Incorporated,active,2026-08-22,Lifecycle + subscriptions,2025-11-01
Atlas Homewares LLC,active,2026-08-08,SEO + collection pages,2026-05-01
Pine and Petal,active,2026-08-15,Influencer + UGC,2026-06-01
Solstice Beauty,paused,2026-06-01,Paused pending budget,2026-03-15
Riverstone Outfitters,active,2026-08-25,Re-signed Q3 growth package,2026-09-01
Riverstone Outfitters,closed,2026-08-01,Prior retainer closed at re-sign,2025-09-01
Orphan Project Only,active,2026-08-01,No billing row on purpose,2026-07-01
