client_name,retainer_start,retainer_end,monthly_fee_usd,plan
Harbour Brew Co,2026-03-01,2026-09-15,4500,Growth
ACME SHOP,2026-02-01,2026-09-30,6200,Scale
Northwind Ltd,2025-12-01,2026-10-01,3800,Growth
Brightline Commerce,2026-01-15,2026-08-20,5100,Growth
Solstice Beauty,2026-03-15,2026-07-01,4800,Growth
Fernbrook Athletic,2026-05-29,2026-08-29,3400,Starter
Atlas Homewares,2026-05-01,2026-10-13,4100,Growth
Kestrel Cycles Ltd,2026-02-10,2026-10-14,3300,Growth
Lumen Apparel Inc,2025-11-01,2026-11-30,7200,Scale
Pine & Petal,2026-06-01,2026-12-15,3500,Growth
Cedar & Co.,2026-04-01,,2900,Starter
Verity Skincare,2025-10-01,2026-02-30,3100,Growth
Maple Row Studio,2026-01-05,30/04/2026,2600,Starter
Riverstone Outfitters,2025-09-01,2026-09-01,5500,Scale
Riverstone Outfitters,2026-09-01,2026-12-01,5900,Scale
Copperleaf Home,2025-11-01,2026-09-20,4400,Growth
Copperleaf Home,2026-08-01,2026-11-15,4800,Growth
Marberry Home,2026-03-20,2026-09-28,3700,Growth
Ridgeway Outdoors,2026-04-10,2026-10-05,4600,Growth
St. Ives Provisions,2026-04-05,2026-10-08,3200,Growth
Waverly Tea Co,2026-06-15,2026-11-05,2400,Starter
Nightjar Provisions,2026-03-01,2026-09-25,4200
